Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
18,Exit long,2015-10-16 10:00,EXIT - Basso Stop,27016,33,896379,-57449.53,-0.64,16968.11,0.19,-78071.9,-0.87,-130732.72,-2.61
18,Entry long,2015-10-14 23:00,ENTRY-33L,27163,33,896379,-57449.53,-0.64,16968.11,0.19,-78071.9,-0.87,-130732.72,-2.61
19,Exit long,2015-10-21 19:00,EXIT - Basso Stop,26834,64,1727040,-113862.08,-0.66,52164.8,0.30,-112315.2,-0.65,-244594.8,-4.89
19,Entry long,2015-10-20 16:00,ENTRY-64L,26985,64,1727040,-113862.08,-0.66,52164.8,0.30,-112315.2,-0.65,-244594.8,-4.89
20,Exit long,2015-10-29 10:00,EXIT - Basso Stop,26604,63,1688400,-140302.27,-0.83,138348,0.82,-196812,-1.17,-384897.06,-7.70
20,Entry long,2015-10-27 23:00,ENTRY-63L,26800,63,1688400,-140302.27,-0.83,138348,0.82,-196812,-1.17,-384897.06,-7.70
21,Exit long,2015-12-07 20:00,EXIT - Basso Stop,25442,27,684855,13931.06,0.20,133735.72,1.95,-11254.27,-0.16,-370966,-7.42
21,Entry long,2015-12-04 19:00,ENTRY-27L,25365,27,684855,13931.06,0.20,133735.72,1.95,-11254.27,-0.16,-370966,-7.42
22,Exit long,2015-12-14 12:00,EXIT - Basso Stop,25413,33,842556,-47675.93,-0.57,18227.22,0.22,-44142.78,-0.52,-418641.94,-8.37
22,Entry long,2015-12-11 20:00,ENTRY-33L,25532,33,842556,-47675.93,-0.57,18227.22,0.22,-44142.78,-0.52,-418641.94,-8.37
23,Exit long,2015-12-22 22:00,EXIT - Basso Stop,25161,54,1363878,-65452.86,-0.48,35300.61,0.26,-61899.39,-0.45,-484094.78,-9.68
23,Entry long,2015-12-21 20:00,ENTRY-54L,25257,54,1363878,-65452.86,-0.48,35300.61,0.26,-61899.39,-0.45,-484094.78,-9.68
24,Exit long,2016-01-07 13:00,EXIT - Basso Stop,25810,60,1512000,350697,2.32,493440,3.26,-24360,-0.16,-133397.8,-2.67
24,Entry long,2016-01-04 11:00,ENTRY-60L,25200,60,1512000,350697,2.32,493440,3.26,-24360,-0.16,-133397.8,-2.67
25,Exit long,2016-01-14 12:00,EXIT - Basso Stop,25830,42,1089522,-57491.91,-0.53,0,0.00,-54167.61,-0.50,-190889.7,-3.82
25,Entry long,2016-01-14 10:00,ENTRY-42L,25941,42,1089522,-57491.91,-0.53,0,0.00,-54167.61,-0.50,-190889.7,-3.82
26,Exit long,2016-01-15 20:00,EXIT - Basso Stop,26028,35,916650,-65838.15,-0.72,0,0.00,-61283.25,-0.67,-256727.84,-5.13
26,Entry long,2016-01-15 19:00,ENTRY-35L,26190,35,916650,-65838.15,-0.72,0,0.00,-61283.25,-0.67,-256727.84,-5.13
27,Exit long,2016-01-21 13:00,EXIT - Basso Stop,26357,52,1361984,72137.26,0.53,237070.08,1.74,-17729.92,-0.13,-184590.6,-3.69
27,Entry long,2016-01-20 10:00,ENTRY-52L,26192,52,1361984,72137.26,0.53,237070.08,1.74,-17729.92,-0.13,-184590.6,-3.69
28,Exit long,2016-01-28 19:00,EXIT - Basso Stop,26645,27,722196,-35018.05,-0.48,37429.02,0.52,-43570.98,-0.60,-219608.64,-4.39
28,Entry long,2016-01-27 10:00,ENTRY-27L,26748,27,722196,-35018.05,-0.48,37429.02,0.52,-43570.98,-0.60,-219608.64,-4.39
29,Exit long,2016-02-22 10:00,EXIT - Basso Stop,29036,35,1022175,-69342.17,-0.68,114589.13,1.12,-85610.87,-0.84,-288950.8,-5.78
29,Entry long,2016-02-18 23:00,ENTRY-35L,29205,35,1022175,-69342.17,-0.68,114589.13,1.12,-85610.87,-0.84,-288950.8,-5.78
30,Exit long,2016-02-24 23:00,EXIT - Basso Stop,29505,44,1293688,32360.46,0.25,205611.56,1.59,-9548.44,-0.07,-256590.36,-5.13
30,Entry long,2016-02-24 15:00,ENTRY-44L,29402,44,1293688,32360.46,0.25,205611.56,1.59,-9548.44,-0.07,-256590.36,-5.13
31,Exit long,2016-03-04 17:00,EXIT - Basso Stop,29757,46,1368270,-8165.46,-0.06,126558.65,0.92,-20181.35,-0.15,-264755.8,-5.30
