Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
21,Exit long,2009-06-30 10:30,EXIT - Below ST,7406.3,9,66645,-4256.06,-0.18,66022.42,2.83,-12412.57,-0.53,533496.9,10.67
21,Entry long,2009-06-26 14:15,PYR1-9L,7405,9,66645,-4256.06,-0.18,66022.42,2.83,-12412.57,-0.53,533496.9,10.67
22,Exit long,2009-06-30 10:30,EXIT - Below ST,7406.3,5,37360,-14101.2,-1.08,24942.4,1.91,-12805.1,-0.98,520703.28,10.41
22,Entry long,2009-06-29 10:30,PYR2-5L,7472,5,37360,-14101.2,-1.08,24942.4,1.91,-12805.1,-0.98,520703.28,10.41
23,Exit long,2009-07-06 11:45,EXIT - Below ST,7140,20,152000,-332318,-6.24,61180,1.15,-388220,-7.29,188385.28,3.77
23,Entry long,2009-07-06 09:15,ENTRY-20L,7600,20,152000,-332318,-6.24,61180,1.15,-388220,-7.29,188385.28,3.77
24,Exit long,2009-07-16 10:30,EXIT - Below ST,6855.5,14,97496,-59936.55,-1.75,39217.64,1.15,-56822.36,-1.66,128448.73,2.57
24,Entry long,2009-07-15 14:15,EOD-ENTRY-14L,6964,14,97496,-59936.55,-1.75,39217.64,1.15,-56822.36,-1.66,128448.73,2.57
25,Exit long,2009-07-22 11:45,EXIT - Below ST,7410.1,15,106680,148878.39,3.98,260341.2,6.97,-17410.05,-0.47,274305.97,5.49
25,Entry long,2009-07-17 10:30,ENTRY-15L,7112,15,106680,148878.39,3.98,260341.2,6.97,-17410.05,-0.47,274305.97,5.49
26,Exit long,2009-07-22 11:45,EXIT - Below ST,7410.1,8,57359.2,63173.6,3.14,122620.43,6.10,-7565.57,-0.38,339487.12,6.79
26,Entry long,2009-07-17 11:45,PYR1-8L,7169.9,8,57359.2,63173.6,3.14,122620.43,6.10,-7565.57,-0.38,339487.12,6.79
27,Exit long,2009-07-22 11:45,EXIT - Below ST,7410.1,4,28960,21762.99,2.14,51486.4,5.07,-2413.6,-0.24,362263.72,7.25
27,Entry long,2009-07-17 14:15,PYR2-4L,7240,4,28960,21762.99,2.14,51486.4,5.07,-2413.6,-0.24,362263.72,7.25
28,Exit long,2009-08-05 10:30,EXIT - Below ST,7542,19,143735,-25341.15,-0.50,103364.27,2.05,-47590.73,-0.95,332910.9,6.66
28,Entry long,2009-07-31 09:15,ENTRY-19L,7565,19,143735,-25341.15,-0.50,103364.27,2.05,-47590.73,-0.95,332910.9,6.66
29,Exit long,2009-08-05 10:30,EXIT - Below ST,7542,10,76129,-30119.21,-1.13,37620.48,1.41,-41829.52,-1.57,305456.2,6.11
29,Entry long,2009-07-31 11:45,PYR1-10L,7612.9,10,76129,-30119.21,-1.13,37620.48,1.41,-41829.52,-1.57,305456.2,6.11
30,Exit long,2009-08-05 10:30,EXIT - Below ST,7542,5,38490,-29967,-2.22,3902.85,0.29,-34247.15,-2.54,276836.34,5.54
30,Entry long,2009-08-03 14:15,PYR2-5L,7698,5,38490,-29967,-2.22,3902.85,0.29,-34247.15,-2.54,276836.34,5.54
31,Exit long,2009-08-17 09:15,EXIT - Below ST,7255.8,19,140676,-108301.77,-2.20,73546.34,1.49,-122961.16,-2.49,165907.83,3.32
31,Entry long,2009-08-13 11:45,ENTRY-19L,7404,19,140676,-108301.77,-2.20,73546.34,1.49,-122961.16,-2.49,165907.83,3.32
32,Exit long,2009-08-17 09:15,EXIT - Below ST,7255.8,10,75050,-92386.28,-3.51,3323.25,0.13,-100101.75,-3.81,76148.3,1.52
32,Entry long,2009-08-13 14:15,PYR1-10L,7505,10,75050,-92386.28,-3.51,3323.25,0.13,-100101.75,-3.81,76148.3,1.52
33,Exit long,2009-08-25 10:30,EXIT - Below ST,7387.05,20,147700,-8905.43,-0.17,117330.5,2.27,-11469.5,-0.22,64612.61,1.29
