Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
17,Entry long,2009-06-26 14:15,PYR2-5L,7406.25,5,37031.25,5079.47,0.39,37108.2,2.86,-6466.8,-0.50,636884.2,12.74
18,Exit long,2009-06-30 10:15,EXIT - Basso Stop,7442.7,1,7539.75,-3658.94,-1.39,2746.8,1.04,-3822.7,-1.45,633357.2,12.67
18,Entry long,2009-06-29 12:15,PYR3-1L,7539.75,1,7539.75,-3658.94,-1.39,2746.8,1.04,-3822.7,-1.45,633357.2,12.67
19,Exit long,2009-07-06 11:15,EXIT - Basso Stop,7245.25,10,75677.5,-115467.27,-4.36,43213.15,1.63,-114199.36,-4.31,517219,10.34
19,Entry long,2009-07-03 14:15,EOD-ENTRY-10L,7567.75,10,75677.5,-115467.27,-4.36,43213.15,1.63,-114199.36,-4.31,517219,10.34
20,Exit long,2009-07-06 11:15,EXIT - Basso Stop,7245.25,5,38336.25,-75154.84,-5.60,4185.37,0.31,-74520.88,-5.55,442735.06,8.85
20,Entry long,2009-07-06 10:15,PYR1-5L,7667.25,5,38336.25,-75154.84,-5.60,4185.37,0.31,-74520.88,-5.55,442735.06,8.85
21,Exit long,2009-07-16 13:15,EXIT - Basso Stop,6872.75,12,83571,-41335.77,-1.41,34972.51,1.20,-52744.49,-1.80,401399.28,8.03
21,Entry long,2009-07-15 15:15,EOD-ENTRY-12L,6964.25,12,83571,-41335.77,-1.41,34972.51,1.20,-52744.49,-1.80,401399.28,8.03
22,Exit long,2009-07-21 11:15,EXIT - Basso Stop,7455.25,1,7111.75,11767.58,4.73,15494.29,6.22,-185.71,-0.07,410660.03,8.21
22,Entry long,2009-07-17 11:15,ENTRY-11L,7111.75,1,7111.75,11767.58,4.73,15494.29,6.22,-185.71,-0.07,410660.03,8.21
23,Exit long,2009-07-22 12:15,EXIT - Basso Stop,7374.75,10,71117.5,89514.86,3.59,174892.94,7.02,-1857.06,-0.07,501419.47,10.03
23,Entry long,2009-07-17 11:15,ENTRY-11L,7111.75,10,71117.5,89514.86,3.59,174892.94,7.02,-1857.06,-0.07,501419.47,10.03
24,Exit long,2009-07-22 12:15,EXIT - Basso Stop,7374.75,1,7156.25,7393.21,2.95,15931.02,6.36,-256.48,-0.10,508937.9,10.18
24,Entry long,2009-07-17 12:15,PYR1-5L,7156.25,1,7156.25,7393.21,2.95,15931.02,6.36,-256.48,-0.10,508937.9,10.18
25,Exit long,2009-07-22 12:15,EXIT - Basso Stop,7374.75,4,28625,29572.83,2.95,63724.06,6.36,-1025.94,-0.10,539011.7,10.78
25,Entry long,2009-07-17 12:15,PYR1-5L,7156.25,4,28625,29572.83,2.95,63724.06,6.36,-1025.94,-0.10,539011.7,10.78
26,Exit long,2009-07-22 12:15,EXIT - Basso Stop,7374.75,1,7202.25,5782.4,2.29,14320.21,5.68,-659.79,-0.26,544920.1,10.90
26,Entry long,2009-07-17 13:15,PYR2-4L,7202.25,1,7202.25,5782.4,2.29,14320.21,5.68,-659.79,-0.26,544920.1,10.90
27,Exit long,2009-07-22 12:15,EXIT - Basso Stop,7374.75,3,21606.75,17347.21,2.29,42960.63,5.68,-1979.37,-0.26,562645.44,11.25
27,Entry long,2009-07-17 13:15,PYR2-4L,7202.25,3,21606.75,17347.21,2.29,42960.63,5.68,-1979.37,-0.26,562645.44,11.25
28,Exit long,2009-07-22 12:15,EXIT - Basso Stop,7374.75,1,7538.9,-6006.24,-2.28,2531.57,0.96,-5877.18,-2.23,556771.1,11.14
28,Entry long,2009-07-20 14:15,PYR3-1L,7538.9,1,7538.9,-6006.24,-2.28,2531.57,0.96,-5877.18,-2.23,556771.1,11.14
29,Exit long,2009-08-05 10:15,EXIT - Basso Stop,7554.55,11,83096.75,-2792.94,-0.10,65439.56,2.25,-21955.44,-0.75,552775.2,11.06
29,Entry long,2009-07-31 09:15,ENTRY-11L,7554.25,11,83096.75,-2792.94,-0.10,65439.56,2.25,-21955.44,-0.75,552775.2,11.06
30,Exit long,2009-08-05 10:15,EXIT - Basso Stop,7554.55,5,38076.25,-11949.86,-0.90,19064.92,1.43,-20660.08,-1.55,541491.7,10.83
30,Entry long,2009-07-31 10:15,PYR1-5L,7615.25,5,38076.25,-11949.86,-0.90,19064.92,1.43,-20660.08,-1.55,541491.7,10.83
31,Exit long,2009-08-05 10:15,EXIT - Basso Stop,7554.55,4,30666,-16738.47,-1.56,8073.35,0.75,-20339.65,-1.89,525289.9,10.51
31,Entry long,2009-08-03 14:15,PYR2-4L,7666.5,4,30666,-16738.47,-1.56,8073.35,0.75,-20339.65,-1.89,525289.9,10.51
32,Exit long,2009-08-17 09:15,EXIT - Basso Stop,7257.55,11,81105.75,-47360.93,-1.67,55849.4,1.97,-57918.1,-2.04,476756.3,9.54
32,Entry long,2009-08-13 10:15,ENTRY-11L,7373.25,11,81105.75,-47360.93,-1.67,55849.4,1.97,-57918.1,-2.04,476756.3,9.54
33,Exit long,2009-08-17 09:15,EXIT - Basso Stop,7257.55,5,37076.25,-28881.37,-2.22,18032.42,1.39,-33680.09,-2.59,448523.78,8.97
33,Entry long,2009-08-13 12:15,PYR1-5L,7415.25,5,37076.25,-28881.37,-2.22,18032.42,1.39,-33680.09,-2.59,448523.78,8.97
34,Exit long,2009-08-17 09:15,EXIT - Basso Stop,7257.55,4,29929.8,-32517.8,-3.10,5013.23,0.48,-36356.77,-3.47,416529.75,8.33
34,Entry long,2009-08-13 14:15,PYR2-4L,7482.45,4,29929.8,-32517.8,-3.10,5013.23,0.48,-36356.77,-3.47,416529.75,8.33
35,Exit long,2009-08-25 10:15,EXIT - Basso Stop,7406.95,9,66592.8,109.28,0.00,49486.63,2.12,-9292.37,-0.40,416111.75,8.32
35,Entry long,2009-08-21 14:15,EOD-ENTRY-9L,7399.2,9,66592.8,109.28,0.00,49486.63,2.12,-9292.37,-0.40,416111.75,8.32
36,Exit long,2009-08-25 10:15,EXIT - Basso Stop,7406.95,4,30131,-18657.78,-1.77,3287.71,0.31,-20512.29,-1.94,397981.25,7.96
36,Entry long,2009-08-24 09:15,PYR1-4L,7532.75,4,30131,-18657.78,-1.77,3287.71,0.31,-20512.29,-1.94,397981.25,7.96
37,Exit long,2009-09-01 13:15,EXIT - Basso Stop,7389.75,12,91047,-86095.17,-2.70,3761.68,0.12,-99978.32,-3.14,311886.1,6.24
37,Entry long,2009-09-01 10:15,ENTRY-12L,7587.25,12,91047,-86095.17,-2.70,3761.68,0.12,-99978.32,-3.14,311886.1,6.24
38,Exit long,2009-09-10 14:15,EXIT - Basso Stop,7834.75,1,7707.25,4190.52,1.55,8781.37,3.25,-1788.63,-0.66,313508.34,6.27
38,Entry long,2009-09-08 09:15,ENTRY-17L,7707.25,1,7707.25,4190.52,1.55,8781.37,3.25,-1788.63,-0.66,313508.34,6.27
39,Exit long,2009-09-10 15:15,EXIT - Basso Stop,7813.75,16,123316,55294.12,1.28,140501.97,3.25,-28618.03,-0.66,370960.5,7.42
39,Entry long,2009-09-08 09:15,ENTRY-17L,7707.25,16,123316,55294.12,1.28,140501.97,3.25,-28618.03,-0.66,370960.5,7.42
40,Exit long,2009-09-10 15:15,EXIT - Basso Stop,7813.75,1,7754.25,1810.06,0.67,7135.55,2.63,-2559.45,-0.94,372906.25,7.46
40,Entry long,2009-09-08 12:15,PYR1-2L,7754.25,1,7754.25,1810.06,0.67,7135.55,2.63,-2559.45,-0.94,372906.25,7.46
41,Exit long,2009-09-10 15:15,EXIT - Basso Stop,7813.75,1,7754.25,1810.06,0.67,7135.55,2.63,-2559.45,-0.94,374852,7.50
41,Entry long,2009-09-08 12:15,PYR1-2L,7754.25,1,7754.25,1810.06,0.67,7135.55,2.63,-2559.45,-0.94,374852,7.50
42,Exit long,2009-09-10 15:15,EXIT - Basso Stop,7813.75,1,7933.25,-4458.07,-1.60,867.42,0.31,-4624.08,-1.66,370532.78,7.41
42,Entry long,2009-09-10 09:15,PYR2-1L,7933.25,1,7933.25,-4458.07,-1.60,867.42,0.31,-4624.08,-1.66,370532.78,7.41
43,Exit long,2009-09-18 11:15,EXIT - Basso Stop,8345.15,10,81202.5,75833.55,2.67,129041.45,4.54,-3223.54,-0.11,444933.12,8.90
43,Entry long,2009-09-15 09:15,ENTRY-10L,8120.25,10,81202.5,75833.55,2.67,129041.45,4.54,-3223.54,-0.11,444933.12,8.90
44,Exit long,2009-09-18 11:15,EXIT - Basso Stop,8345.15,5,40826,30046.59,2.10,56650.55,3.96,-5736.95,-0.40,475694.2,9.51
44,Entry long,2009-09-15 11:15,PYR1-5L,8165.2,5,40826,30046.59,2.10,56650.55,3.96,-5736.95,-0.40,475694.2,9.51
45,Exit long,2009-09-18 11:15,EXIT - Basso Stop,8345.15,5,41071.25,21458.55,1.49,48062.5,3.34,-2337.5,-0.16,497871.47,9.96
